Calculadora Calorias,,,,,,Calculadora Almoços,,,,,,,,,,,,,,,,,,,,,,,,SOPA,,,,
Nome do alimento,Kcal,Proteina,Hidratos,Gordura,,Proteina 1/2,Kcal,Proteina,Hidratos,Gordura,,Hidratos,Kcal,Proteina,Hidratos,Gordura,,Legumes,Kcal,Proteina,Hidratos,Gordura,,Outro,Kcal,Proteina,Hidratos,Gordura,,Nome do alimento,Kcal,Proteina,Hidratos,Gordura
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nada,"0,00 Kcal","0,00 Kcal","0,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almoço (un.),#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jantar (un.),#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sopa (un.),"0,00 Kcal","0,00 Kcal","0,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
café expresso (un.),"5,00 Kcal","0,00 Kcal","0,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
personalizado (un.),"182,00 Kcal","12,00 Kcal","15,30 Kcal","8,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
personalizado 2 (un.),"467,00 Kcal","5,70 Kcal","72,50 Kcal","16,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amendoins Mercadona (g),"595,00 Kcal","24,90 Kcal","10,00 Kcal","48,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ananas (g),"47,00 Kcal","0,50 Kcal","9,50 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aveia finos continente (g),"366,00 Kcal","13,00 Kcal","56,00 Kcal","7,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveia lidl (g),"372,00 Kcal","12,60 Kcal","59,60 Kcal","6,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azeite (g),"899,00 Kcal","0,00 Kcal","0,00 Kcal","99,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babybel (un.),"41,60 Kcal","5,00 Kcal","0,02 Kcal","2,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana (g),"104,00 Kcal","1,60 Kcal","21,80 Kcal","0,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barra (g),"495,00 Kcal","11,00 Kcal","8,00 Kcal","10,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriga alteza frutos vermelhos (un.),"87,00 Kcal","1,30 Kcal","14,00 Kcal","2,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
