Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
,,,,,
salsa fresca,INSA,"20,00 Kcal","3,10 g","0,40 g","0,00 g"
coentros crus,INSA,"28,00 Kcal","2,40 g","1,80 g","0,60 g"
alho cru,INSA,"72,00 Kcal","3,80 g","11,30 g","0,60 g"
alho em pó,INSA,"310,00 Kcal","17,60 g","52,30 g","1,20 g"
"peito de frango com pele, cru",INSA,"177,00 Kcal","24,10 g","0,00 g","8,90 g"
"peito de frango sem pele, cru",INSA,"108,00 Kcal","24,10 g","0,00 g","1,20 g"
"perna de frango sem pele, crua",INSA,"111,00 Kcal","22,00 g","0,00 g","2,60 g"
"frango, pele crua",INSA,"474,00 Kcal","9,70 g","0,00 g","48,30 g"
"frango (1/4), peito e asa com pele, crus",INSA,"196,00 Kcal","20,40 g","0,00 g","12,70 g"
"frango (1/4), perna com costa e pele, crua",INSA,"195,00 Kcal","19,10 g","0,00 g","13,00 g"
"frango inteiro com pele, cru",INSA,"201,00 Kcal","19,60 g","0,00 g","13,60 g"
"frango inteiro sem pele, cru",INSA,"110,00 Kcal","22,90 g","0,00 g","2,00 g"
pão ralado,INSA,"359,00 Kcal","11,20 g","71,60 g","2,30 g"
leite de cabra cru,INSA,"70,00 Kcal","3,80 g","4,60 g","4,00 g"
leite de ovelha cru,INSA,"93,00 Kcal","5,10 g","4,20 g","6,20 g"
"leite gordo, pasteurizado",INSA,"62,00 Kcal","3,00 g","4,70 g","3,50 g"
"leite gordo, uht",INSA,"62,00 Kcal","3,00 g","4,70 g","3,50 g"
"leite meio gordo, uht",INSA,"47,00 Kcal","3,30 g","4,90 g","1,60 g"
"leite magro, uht",INSA,"35,00 Kcal","3,40 g","4,90 g","0,20 g"
"leite meio gordo aromatizado, uht",INSA,"60,00 Kcal","3,00 g","7,90 g","1,80 g"
"leite gordo especial, pasteurizado",INSA,"62,00 Kcal","3,10 g","4,80 g","3,40 g"
"leite gordo, pó",INSA,"495,00 Kcal","26,80 g","38,70 g","25,90 g"
"leite meio gordo, pó",INSA,"427,00 Kcal","30,70 g","45,60 g","13,50 g"
"leite magro, pó",INSA,"359,00 Kcal","35,10 g","52,70 g","0,90 g"
leite condensado,INSA,"338,00 Kcal","7,80 g","56,40 g","9,00 g"
leite evaporado,INSA,"136,00 Kcal","6,60 g","9,80 g","7,80 g"
"leite humano, colostro",INSA,"60,00 Kcal","2,30 g","6,30 g","2,80 g"
"leite humano, transição",INSA,"66,00 Kcal","1,60 g","6,60 g","3,70 g"
leite humano,INSA,"66,00 Kcal","1,40 g","7,50 g","3,40 g"
queijo emmental,INSA,"384,00 Kcal","28,90 g","0,00 g","29,70 g"
queijo são jorge,INSA,"409,00 Kcal","26,60 g","2,50 g","32,50 g"
queijo fundido 40% gordura,INSA,"326,00 Kcal","22,50 g","0,20 g","25,70 g"
requeijão de vaca,INSA,"149,00 Kcal","8,00 g","5,80 g","10,40 g"
queijo de azeitão,INSA,"339,00 Kcal","19,50 g","2,60 g","27,50 g"
queijo camembert,INSA,"254,00 Kcal","19,20 g","0,20 g","19,60 g"
queijo de évora,INSA,"405,00 Kcal","23,80 g","2,10 g","32,90 g"
queijo parmesão,INSA,"406,00 Kcal","37,70 g","0,10 g","27,80 g"
queijo roquefort,INSA,"372,00 Kcal","22,00 g","0,20 g","31,50 g"
queijo serra da estrela,INSA,"324,00 Kcal","23,80 g","2,00 g","24,00 g"
"queijo serra da estrela, velho",INSA,"389,00 Kcal","25,50 g","0,20 g","31,50 g"
queijo serpa,INSA,"375,00 Kcal","22,00 g","2,40 g","30,50 g"
"queijo creme para barrar, alto teor polinsaturados",INSA,"263,00 Kcal","9,30 g","6,90 g","22,00 g"
queijo fresco açucarado com sabor a fruta,INSA,"110,00 Kcal","7,30 g","11,60 g","3,60 g"
